Description,Qty,Unit Price (EUR),VAT (%),Net (EUR),Gross (EUR)
"Tiramisu Ice Cream 10L",3.46,€452.75,24%,€1566.51,€1942.48
"Pineapple Coconut 5L",9.09,€25.72,24%,€233.79,€289.91
"Lemon Sorbet 20L",7.82,€244.27,24%,€1910.19,€2368.64
"Butter Pecan 10L",2.38,€53.56,24%,€127.47,€158.07
"Raspberry Ripple 10L",3.07,€44.37,24%,€136.22,€168.91
"Cherry Garcia 5L",3.8,€70.32,24%,€267.92,€332.22
"Mocha Almond Fudge 10L",8.82,€329.99,24%,€2910.51,€3609.03
"Cookies & Cream 5L",4.48,€197.78,24%,€886.05,€1098.71
"Coffee Ice Cream 5L",3.74,€231.31,24%,€865.10,€1072.72
"Totals:","",,"",€8903.77,€11040.68
